id;gender;geographical_area;edu_qualification;employment_status;age_score;age_label;FA1;FA2;FA3;FA;FK1;FK2;FK3;FK4;FK5;FK6;FK7;FK;FB1;FB2;FB3;FB4;FB5;FB6;FB7;FB8;FB
1;F;North-west;30;Unemployed;1;Giovani;2;2;3;2,33;1;1;1;1;1;1;0;6;0;0;1;1;0;0;0;1;3
2;F;North-west;40;Self-employed;2;Adulti;4;5;3;4;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;8
3;F;South;40;Retired;3;Anziani;5;5;5;5;1;1;1;0;1;1;1;6;0;0;1;1;1;0;0;1;4
4;F;South;40;Homemaker;3;Anziani;5;5;5;5;0;0;1;0;1;1;0;3;0;0;1;1;1;1;0;1;5
5;M;South;30;Self-employed;2;Adulti;3;5;5;4,33;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;4
7;M;Islands;40;Self-employed;2;Adulti;5;5;4;4,67;1;0;0;0;1;1;0;3;0;0;1;0;0;0;0;1;2
9;M;Centre;30;Unemployed;2;Adulti;2;3;3;2,67;1;0;0;0;1;1;0;3;1;0;1;1;0;0;0;1;4
10;M;Centre;40;Retired;3;Anziani;4;3;3;3,33;0;1;1;1;0;1;0;4;0;0;1;1;0;0;0;1;3
11;M;Centre;10;Self-employed;3;Anziani;3;4;1;2,67;0;1;1;1;1;1;0;5;0;0;1;1;0;0;1;0;3
12;F;North-west;40;Retired;3;Anziani;5;5;3;4,33;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;3
13;F;North-east;10;Retired;3;Anziani;3;3;3;3;1;1;1;1;1;1;1;7;0;1;1;1;0;0;1;1;5
14;F;North-west;30;Retired;3;Anziani;3;3;3;3;1;0;0;0;1;1;1;4;0;0;1;1;1;0;0;1;4
15;M;North-west;10;Employed;2;Adulti;4;5;3;4;1;1;1;1;1;1;1;7;0;1;1;1;1;0;0;1;5
16;F;North-west;30;Employed;2;Adulti;1;3;2;2;1;0;0;0;1;1;0;3;0;0;1;1;1;0;1;1;5
17;M;North-west;50;Unemployed;1;Giovani;1;1;1;1;1;0;0;0;1;1;1;4;1;1;1;1;1;1;0;1;7
18;F;North-west;10;Retired;3;Anziani;3;3;3;3;0;1;1;1;1;1;1;6;0;1;1;1;1;0;1;1;6
20;F;North-west;30;Self-employed;3;Anziani;4;5;4;4,33;1;1;0;0;1;0;0;3;1;0;1;0;1;0;0;0;3
23;F;North-west;30;Retired;3;Anziani;4;2;3;3;1;1;0;0;1;0;0;3;0;0;1;1;1;0;0;1;4
24;M;North-west;40;Employed;2;Adulti;1;1;1;1;1;1;1;1;1;1;1;7;0;1;1;0;0;0;1;1;4
25;M;North-west;10;Retired;3;Anziani;3;3;2;2,67;0;1;0;0;1;1;1;4;0;0;1;1;1;0;0;1;4
26;M;North-west;40;Employed;2;Adulti;3;4;4;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;1;0;1;6
27;F;North-west;30;Retired;3;Anziani;3;3;3;3;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;4
28;F;North-west;30;Retired;3;Anziani;2;3;3;2,67;1;1;1;1;1;1;0;6;0;1;1;1;0;0;0;1;4
29;F;North-west;10;Retired;3;Anziani;1;3;5;3;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;5
30;M;North-west;30;Retired;3;Anziani;5;4;2;3,67;1;1;1;1;1;1;1;7;0;1;1;1;1;0;1;1;6
31;F;North-west;30;Retired;3;Anziani;5;5;3;4,33;1;1;1;1;1;1;1;7;0;1;1;1;0;0;0;1;4
32;M;North-west;10;Employed;2;Adulti;4;2;5;3,67;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;4
33;M;North-west;40;Retired;3;Anziani;5;3;3;3,67;1;1;1;1;1;1;1;7;0;0;1;1;0;0;0;1;3
34;M;North-west;10;Employed;1;Giovani;3;3;3;3;0;0;0;0;0;1;1;2;0;1;0;0;1;0;2;1;5
35;M;North-west;10;Self-employed;3;Anziani;5;5;5;5;1;1;1;0;0;1;0;4;0;0;1;1;1;0;0;1;4
36;F;North-west;40;Self-employed;2;Adulti;5;2;1;2,67;1;1;1;0;1;1;0;5;0;1;1;1;1;0;0;1;5
37;M;North-west;10;Retired;3;Anziani;3;2;3;2,67;1;1;1;1;1;1;1;7;0;1;1;1;1;1;1;1;7
38;F;North-west;30;Homemaker;2;Adulti;2;5;2;3;1;1;1;0;0;1;0;4;0;1;1;0;1;0;0;1;4
39;M;North-west;30;Retired;3;Anziani;3;2;2;2,33;0;0;0;0;1;1;0;2;1;1;1;1;0;0;1;1;6
40;M;North-west;30;Unemployed;1;Giovani;3;2;3;2,67;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
41;M;North-west;30;Retired;3;Anziani;5;2;1;2,67;1;0;0;0;1;1;0;3;0;0;1;1;1;1;0;1;5
42;F;North-west;30;Retired;3;Anziani;5;5;3;4,33;0;1;0;0;1;1;0;3;0;1;0;1;1;1;1;1;6
43;F;North-west;30;Self-employed;3;Anziani;3;3;2;2,67;1;1;1;0;1;1;1;6;0;0;1;1;0;0;0;1;3
44;M;North-west;40;Employed;2;Adulti;5;5;4;4,67;1;0;0;0;1;1;1;4;0;0;1;1;0;1;0;1;4
46;M;North-west;30;Employed;2;Adulti;5;4;4;4,33;1;1;0;0;1;1;0;4;0;1;1;1;1;0;0;1;5
47;M;North-west;30;Unemployed;1;Giovani;1;2;2;1,67;0;1;0;0;0;1;0;2;0;1;0;0;1;0;1;0;3
48;M;North-west;10;Employed;1;Giovani;3;2;2;2,33;1;1;0;0;1;1;0;4;0;0;1;1;0;0;0;1;3
50;F;North-west;30;Retired;3;Anziani;2;3;3;2,67;0;0;0;0;1;1;1;3;0;0;1;1;1;0;0;0;3
51;F;North-west;30;Employed;2;Adulti;3;3;3;3;0;0;0;0;1;1;0;2;0;1;1;1;1;0;0;1;5
52;M;North-west;30;Employed;2;Adulti;3;3;3;3;0;1;0;0;1;0;0;2;0;1;1;1;1;0;0;1;5
53;F;North-east;10;Retired;3;Anziani;3;4;3;3,33;1;1;0;0;1;1;1;5;0;0;1;1;1;0;0;1;4
54;F;North-east;40;Retired;3;Anziani;3;4;3;3,33;1;0;1;0;1;1;0;4;1;1;0;1;1;1;1;1;7
55;F;North-east;30;Other;3;Anziani;1;4;3;2,67;0;1;0;0;1;1;0;3;0;0;1;1;1;0;0;1;4
56;M;North-east;40;Self-employed;2;Adulti;4;4;4;4;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;3
57;F;North-east;30;Self-employed;3;Anziani;2;2;2;2;0;1;0;0;1;1;0;3;0;0;1;1;1;0;1;1;5
58;F;North-east;10;Self-employed;1;Giovani;2;3;2;2,33;1;0;1;0;0;0;0;2;0;1;1;1;1;0;0;1;5
59;F;North-east;30;Retired;3;Anziani;3;5;5;4,33;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;5
60;F;North-east;10;Self-employed;3;Anziani;3;3;2;2,67;0;0;0;0;1;1;1;3;0;0;1;1;1;0;0;1;4
61;F;North-west;10;Retired;3;Anziani;5;4;4;4,33;1;1;0;0;1;1;1;5;0;0;1;0;1;1;0;1;4
62;F;North-west;40;Student;1;Giovani;4;4;3;3,67;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;5
63;F;North-west;40;Unemployed;2;Adulti;2;5;4;3,67;0;1;0;0;1;1;0;3;0;0;1;0;1;0;0;0;2
64;F;North-west;30;Unemployed;1;Giovani;2;2;3;2,33;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;6
65;M;North-west;30;Unemployed;1;Giovani;4;4;3;3,67;1;1;1;1;1;1;1;7;1;1;1;0;0;0;0;0;3
66;F;North-west;40;Retired;3;Anziani;5;5;5;5;0;0;0;0;1;1;0;2;0;0;0;1;0;1;0;1;3
67;M;North-west;10;Self-employed;2;Adulti;4;3;3;3,33;0;1;1;1;1;0;0;4;0;0;1;1;0;0;0;1;3
