id,anno,gender,geographical_area,age,edu_qualification,employment_status,age_class,FA1,FA2,FA3,FA,FK1,FK2,FK3,FK4,FK5,FK6,FK7,FK,FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB,FL,age_score,age_label
1,2017,F,North-west,31.0,3.0,Unemployed,30-39,2,2,3,2.33,1,1,1,1,1,1,0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,11.33,1,Giovani
2,2017,F,North-west,53.0,4.0,Self-employed,50-59,4,5,3,4.0,1,1,1,1,1,1,1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,19.0,2,Adulti
3,2017,F,South,70.0,4.0,Retired,70+,5,5,5,5.0,1,1,1,0,1,1,1,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,15.0,3,Anziani
4,2017,F,South,64.0,4.0,Homemaker,60-69,5,5,5,5.0,0,0,1,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,13.0,3,Anziani
5,2017,M,South,50.0,3.0,Self-employed,50-59,3,5,5,4.33,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,8.33,2,Adulti
7,2017,M,Islands,45.0,4.0,Self-employed,40-49,5,5,4,4.67,1,0,0,0,1,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.67,2,Adulti
9,2017,M,Centre,36.0,3.0,Unemployed,30-39,2,3,3,2.67,1,0,0,0,1,1,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,9.67,2,Adulti
10,2017,M,Centre,76.0,4.0,Retired,70+,4,-99,3,3.33,0,1,1,1,0,1,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,10.33,3,Anziani
11,2017,M,Centre,72.0,1.0,Self-employed,70+,3,4,1,2.67,0,1,1,1,1,1,0,5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.67,3,Anziani
12,2017,F,North-west,68.0,4.0,Retired,60-69,5,5,3,4.33,1,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,8.33,3,Anziani
13,2017,F,North-east,64.0,1.0,Retired,60-69,3,3,3,3.0,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,15.0,3,Anziani
14,2017,F,North-west,67.0,3.0,Retired,60-69,3,3,3,3.0,1,0,0,0,1,1,1,4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,3,Anziani
15,2017,M,North-west,45.0,1.0,Employed,40-49,4,5,3,4.0,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,16.0,2,Adulti
16,2017,F,North-west,45.0,3.0,Employed,40-49,1,3,2,2.0,1,0,0,0,1,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,10.0,2,Adulti
17,2017,M,North-west,27.0,5.0,Unemployed,18-29,1,1,1,1.0,1,0,0,0,1,1,1,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,12.0,1,Giovani
18,2017,F,North-west,74.0,1.0,Retired,70+,3,3,3,3.0,0,1,1,1,1,1,1,6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,15.0,3,Anziani
20,2017,F,North-west,65.0,3.0,Self-employed,60-69,4,5,4,4.33,1,1,0,0,1,0,0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,10.33,3,Anziani
23,2017,F,North-west,66.0,3.0,Retired,60-69,4,2,3,3.0,1,1,0,0,1,0,0,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,3,Anziani
24,2017,M,North-west,57.0,4.0,Employed,50-59,1,1,1,1.0,1,1,1,1,1,1,1,7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,2,Adulti
25,2017,M,North-west,68.0,1.0,Retired,60-69,3,3,2,2.67,0,1,0,0,1,1,1,4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,10.67,3,Anziani
26,2017,M,North-west,40.0,4.0,Employed,40-49,3,4,4,3.67,1,1,1,1,1,1,1,7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,16.67,2,Adulti
27,2017,F,North-west,76.0,3.0,Retired,70+,3,3,3,3.0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,8.0,3,Anziani
28,2017,F,North-west,65.0,3.0,Retired,60-69,2,3,3,2.67,1,1,1,1,1,1,0,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,12.67,3,Anziani
29,2017,F,North-west,72.0,1.0,Retired,70+,1,-97,5,3.0,1,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,9.0,3,Anziani
