id,pesofitc,qf1,qf2,qf3_1,qf3_3,qf3_4,qf3_6,qf3_7,qf3_8,qf3_99,qf4,qf8,qf9_1,qf9_2,qf9_3,qf9_4,qf9_5,qf9_6,qf9_7,qf9_8,qf9_9,qf9_10,qf9_99,qprod1c_1,qprod1c_2,qprod1c_10,qprod1c_11,qprod1c_12,qprod1c_3,qprod1c_5,qprod1c_6,qprod1c_14,qprod1c_7,qprod1c_8,qprod1c_99,qprod1_d,qprod2,qprod3_1,qprod3_2,qprod3_3,qprod3_4,qprod3_5,qprod3_6,qprod3_7,qprod3_8,qprod3_9,qprod3_10,qprod3_11,qprod3_12,qprod3_13,qprod3_14,qprod3_15,qprod3_16,qprod3_17,qprod3_18,qprod3_99,qf10_1,qf10_2,qf10_3,qf10_4,qf10_5,qf10_6,qf10_7,qf10_8,qf10_9,qf10_10,qf10_11,qf10_12,qprod4_1,qprod4_2,qprod4_3,qk1,qf11,qf12_1_a,qf12_1_b,qf12_1_c,qf12_2_d,qf12_3_e,qf12_3_f,qf12_3_g,qf12_4_k,qf12_4_l,qf12_5_m,qf12_5_o,qf12_6_p,qf12_6_q,qf12_7_r,qf12_97,qf12_99,qf13,qk3,qk4,qk5,qk6,qk7_1,qk7_2,qk7_3,qd1,qd5b,qd7,qd9,qd10,qd12,SM,AREA5
1,0.70659601,2,0,0,0,0,0,0,1,0,-98,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,4,4,5,3,1,3,5,5,0,0,0,5,0,,,,,,,,,,,,,,,,,-99,3,0,102,1,1,1,0,0,3,31,3,5,1,0,1
2,1.220903937,2,1,0,0,0,1,0,0,0,1,6,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,5,1,3,1,2,3,3,4,5,2,1,0,0,3,0,,,,,,,,,,,,,,,,,5,3,0,102,1,1,1,1,0,3,53,4,1,1,0,1
3,1.797774409,1,0,0,0,0,0,0,1,0,1,-99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,5,1,-97,5,1,1,5,4,0,0,0,4,0,,,,,,,,,,,,,,,,,-97,3,0,102,2,1,1,1,0,1,70,4,6,1,0,4
4,1.51535784,2,0,0,0,0,0,0,1,0,-98,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,5,1,2,5,2,1,5,2,0,0,0,3,0,,,,,,,,,,,,,,,,,-97,2,-99,102,2,1,1,-97,0,2,64,4,4,1,0,4
5,0.244932432,2,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,3,5,1,5,1,3,5,3,4,5,5,0,0,0,3,0,,,,,,,,,,,,,,,,,-97,2,-97,-97,-97,0,0,0,1,2,50,3,1,0,0,4
7,2.117975161,2,0,0,0,0,0,0,0,1,-99,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,5,-99,5,3,4,4,-99,2,-99,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,3,-99,-99,-99,1,1,0,1,3,45,4,1,1,0,5
9,1.899867727,2,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,5,4,3,3,3,4,5,4,0,0,0,4,-99,,,,,,,,,,,,,,,,,2,3,-97,-97,2,1,1,-99,1,2,36,3,5,1,0,3
10,0.492704359,2,0,0,0,0,0,0,1,0,-99,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,1,4,-99,1,3,-99,-97,3,-99,2,-99,-99,0,0,0,-99,-99,,,,,,,,,,,,,,,,,-99,-97,0,102,1,-97,1,-97,1,3,76,4,6,1,0,3
11,0.127979403,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,4,1,4,3,3,1,1,4,4,4,-97,0,1,4,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,102,1,1,1,-97,1,1,72,1,1,1,0,3
12,1.500747686,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,5,3,5,3,3,5,5,1,0,0,0,5,0,,,,,,,,,,,,,,,,,-97,3,-97,-97,-97,-97,-97,-97,0,2,68,4,6,1,0,1
13,0.187255842,2,0,1,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,3,1,2,3,4,3,5,4,5,2,0,0,0,3,0,,,,,,,,,,,,,,,,,5,3,0,102,1,1,1,1,0,4,64,1,6,1,0,2
14,0.213410226,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,3,1,3,3,3,4,5,3,0,0,0,3,0,,,,,,,,,,,,,,,,,5,3,-97,-97,-97,1,1,1,0,2,67,3,6,1,0,1
15,1.113198884,1,0,0,1,0,1,0,0,0,-97,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,4,5,2,2,2,3,3,2,3,5,4,1,0,0,3,0,,,,,,,,,,,,,,,,,-97,3,0,102,1,1,1,1,1,1,45,1,2,1,0,1
16,0.565859228,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,-99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,5,2,-97,2,1,3,1,-97,-95,0,-95,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,3,-97,-97,-97,1,1,-97,0,1,45,3,2,1,0,1
17,1.671366622,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,2,1,1,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-97,3,-97,-97,3,1,1,1,1,4,27,5,5,1,0,1
18,0.347714124,1,0,0,0,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,3,1,4,2,4,3,4,4,5,3,0,0,0,4,0,,,,,,,,,,,,,,,,,5,2,0,102,1,1,1,1,0,1,74,1,6,1,0,1
20,0.249735371,1,1,0,0,0,0,0,1,0,-99,-99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,4,5,-99,5,1,4,4,1,1,1,5,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,-97,1,1,0,-97,0,2,65,3,1,1,0,1
